@,7488920,235,104,119,143,171,195,#
@,7488956,303,699,615,497,422,368,#
@,7488993,363,701,680,620,558,490,#
@,7489029,322,125,211,318,365,375,#
@,7489065,315,150,169,216,263,296,#
@,7489102,283,134,145,169,202,234,#
@,7489138,239,106,129,158,188,216,#
@,7489175,334,706,592,485,421,370,#
@,7489211,340,510,478,454,425,387,#
@,7489248,257,109,217,274,302,314,#
@,7489284,271,121,155,195,231,256,#
@,7489320,248,112,123,149,180,206,#
@,7489356,312,703,610,494,420,369,#
@,7489393,368,708,681,620,558,491,#
@,7489429,329,127,216,323,370,380,#
@,7489466,321,157,175,222,268,301,#
@,7489503,291,140,147,173,206,238,#
@,7489539,245,109,121,143,176,207,#
@,7489575,330,705,602,490,421,368,#
@,7489611,345,575,531,494,454,406,#
@,7489648,268,105,225,291,321,331,#
@,7489684,285,132,160,204,243,269,#
@,7489721,259,118,131,157,189,216,#
@,7489757,318,703,617,500,425,375,#
@,7489794,376,715,692,632,569,502,#
@,7489830,340,136,217,328,377,387,#
@,7489866,325,154,172,220,267,302,#
@,7489903,291,139,150,174,207,239,#
@,7489939,246,109,123,142,169,200,#
@,7489976,327,710,620,508,433,376,#
@,7490012,356,617,575,534,487,432,#
@,7490049,279,109,202,285,324,338,#
@,7490084,290,132,156,201,242,271,#
@,7490121,263,119,133,158,190,217,#
@,7490157,315,704,611,494,420,371,#
@,7490194,375,714,691,631,568,501,#
@,7490231,342,133,223,333,382,391,#
@,7490267,323,152,168,216,265,301,#
@,7490304,289,138,146,169,203,237,#
@,7490339,244,100,122,139,165,193,#
@,7490376,321,702,616,506,432,374,#
@,7490412,358,654,607,558,506,446,#
@,7490449,286,111,205,293,334,347,#
@,7490485,297,132,158,204,247,277,#
@,7490522,267,123,130,156,190,219,#
@,7490557,296,672,591,480,409,365,#
@,7490594,376,720,694,631,568,501,#
@,7490631,346,138,227,338,386,394,#
@,7490667,322,152,167,215,264,300,#
@,7490704,289,132,143,168,202,236,#
@,7490740,242,106,119,137,163,189,#
@,7490777,315,704,623,508,433,375,#
@,7490812,360,680,638,583,526,462,#
@,7490849,294,115,215,306,347,359,#
@,7490885,305,138,164,212,256,287,#
@,7490922,276,122,134,162,196,226,#
@,7490958,281,543,504,422,371,342,#
@,7490995,373,715,674,602,540,478,#
@,7491032,343,136,220,324,369,376,#
@,7491067,306,140,157,203,248,283,#
@,7491104,274,127,135,159,191,223,#
@,7491140,232,100,113,132,156,181,#
@,7491177,306,689,619,504,427,368,#
@,7491213,357,689,653,595,535,468,#
